Player,Team,Season,GP,Team Games,Missed Low,Missed Moderate,Missed High,Missed Unclassified,Note
Ivo Everly,CRS,2025-26,81,82,1,0,0,0,
Ivo Everly,CRS,2024-25,80,82,1,1,0,0,
Hugo Kestrel,DUN,2025-26,79,82,2,1,0,0,
Hugo Kestrel,DUN,2024-25,79,82,2,1,0,0,
Hugo Kestrel,DUN,2023-24,78,82,2,2,0,0,
Avery Ashgrove,ALB,2025-26,50,82,5,5,22,0,recurring lower-body issue (fictional)
Nico Ashgrove,BRV,2025-26,74,82,4,4,0,0,
Kade Abernet,CDR,2025-26,79,82,2,1,0,0,
Kade Abernet,CDR,2024-25,78,82,2,2,0,0,
Kade Abernet,CDR,2023-24,79,82,2,1,0,0,
Bram Birchwell,DLT,2025-26,80,82,1,1,0,0,
Bram Birchwell,DLT,2024-25,79,82,2,1,0,0,
Bram Birchwell,DLT,2023-24,80,82,1,1,0,0,
Milo Fairbourne,EMB,2025-26,75,82,4,3,0,0,
Milo Fairbourne,EMB,2024-25,77,82,3,2,0,0,
Milo Fairbourne,EMB,2023-24,74,82,4,4,0,0,
Kade Ashgrove,FRG,2025-26,37,82,7,7,31,0,recurring lower-body issue (fictional)
Kade Ashgrove,FRG,2024-25,61,82,3,3,15,0,recurring lower-body issue (fictional)
Kade Ashgrove,FRG,2023-24,58,82,4,3,17,0,recurring lower-body issue (fictional)
Jalen Zeller,GLN,2025-26,45,82,6,5,26,0,recurring lower-body issue (fictional)
Jalen Zeller,GLN,2024-25,47,82,5,5,25,0,recurring lower-body issue (fictional)
Jalen Zeller,GLN,2023-24,56,82,4,4,18,0,recurring lower-body issue (fictional)
Ivo Calloway,HVN,2025-26,77,82,3,2,0,0,
Ivo Calloway,HVN,2024-25,75,82,4,3,0,0,
Ivo Calloway,HVN,2023-24,76,82,3,3,0,0,
Hollis Garrow,IRN,2025-26,78,82,2,2,0,0,
Hollis Garrow,IRN,2024-25,78,82,2,2,0,0,
Hollis Garrow,IRN,2023-24,78,82,2,2,0,0,
Marek Quill,JAD,2025-26,76,82,3,3,0,0,
Marek Quill,JAD,2024-25,75,82,4,3,0,0,
Marek Quill,JAD,2023-24,76,82,3,3,0,0,
Jalen Northcott,KNG,2025-26,79,82,2,1,0,0,
Jalen Northcott,KNG,2024-25,76,82,3,3,0,0,
Jalen Northcott,KNG,2023-24,76,82,3,3,0,0,
Finn Calloway,MTR,2025-26,80,82,1,1,0,0,
Finn Calloway,MTR,2024-25,80,82,1,1,0,0,
Finn Calloway,MTR,2023-24,79,82,2,1,0,0,
Tate Yarrow,NOV,2025-26,76,82,3,3,0,0,
Tate Yarrow,NOV,2024-25,75,82,4,3,0,0,
Tate Yarrow,NOV,2023-24,76,82,3,3,0,0,
Linus Underhill,ORC,2025-26,78,82,2,2,0,0,
Linus Underhill,ORC,2024-25,78,82,2,2,0,0,
Linus Underhill,ORC,2023-24,79,82,2,1,0,0,
Gage Birchwell,PHN,2025-26,33,82,8,7,34,0,recurring lower-body issue (fictional)
Gage Birchwell,PHN,2024-25,52,82,5,4,21,0,recurring lower-body issue (fictional)
Gage Birchwell,PHN,2023-24,40,82,7,6,29,0,recurring lower-body issue (fictional)
Bram Lockhart,QST,2025-26,76,82,3,3,0,0,
Bram Lockhart,QST,2024-25,76,82,3,3,0,0,
Bram Lockhart,QST,2023-24,77,82,3,2,0,0,
Finn Stroud,RVR,2025-26,81,82,1,0,0,0,
Finn Stroud,RVR,2024-25,80,82,1,1,0,0,
Finn Stroud,RVR,2023-24,81,82,1,0,0,0,
Kade Marlow,TID,2025-26,78,82,2,2,0,0,
Kade Marlow,TID,2024-25,80,82,1,1,0,0,
Kade Marlow,TID,2023-24,79,82,2,1,0,0,
Kade Dunmore,UMB,2025-26,79,82,2,1,0,0,
Kade Dunmore,UMB,2024-25,77,82,3,2,0,0,
Kade Dunmore,UMB,2023-24,80,82,1,1,0,0,
Zane Fairbourne,VIP,2025-26,76,82,3,3,0,0,
Zane Fairbourne,VIP,2024-25,79,82,2,1,0,0,
Zane Fairbourne,VIP,2023-24,76,82,3,3,0,0,
Cam Thorne,WLD,2025-26,78,82,2,2,0,0,
Cam Thorne,WLD,2024-25,80,82,1,1,0,0,
Cam Thorne,WLD,2023-24,79,82,2,1,0,0,
Niall Pembrook,XEN,2025-26,63,82,3,3,13,0,recurring lower-body issue (fictional)
Niall Pembrook,XEN,2024-25,61,82,3,3,15,0,recurring lower-body issue (fictional)
Niall Pembrook,XEN,2023-24,36,82,7,7,32,0,recurring lower-body issue (fictional)
Cam Northcott,YTI,2025-26,52,82,5,4,21,0,recurring lower-body issue (fictional)
Cam Northcott,YTI,2024-25,29,82,8,8,37,0,recurring lower-body issue (fictional)
Cam Northcott,YTI,2023-24,44,82,6,5,27,0,recurring lower-body issue (fictional)
Hugo Quill,ARC,2025-26,78,82,2,2,0,0,
Hugo Quill,ARC,2024-25,78,82,2,2,0,0,
Hugo Quill,ARC,2023-24,76,82,3,3,0,0,
Niall Jessop,BOL,2025-26,80,82,1,1,0,0,
Niall Jessop,BOL,2024-25,80,82,1,1,0,0,
Niall Jessop,BOL,2023-24,80,82,1,1,0,0,
Eli Zeller,CRS,2025-26,80,82,1,1,0,0,
Eli Zeller,CRS,2024-25,78,82,2,2,0,0,
Eli Zeller,CRS,2023-24,80,82,1,1,0,0,
Ivo Pembrook,DUN,2025-26,50,82,5,5,22,0,recurring lower-body issue (fictional)
Ivo Pembrook,DUN,2024-25,57,82,4,3,18,0,recurring lower-body issue (fictional)
Ivo Pembrook,DUN,2023-24,60,82,4,3,15,0,recurring lower-body issue (fictional)
Lior Underhill,ALB,2025-26,80,82,1,1,0,0,
Lior Underhill,ALB,2024-25,81,82,1,0,0,0,
Lior Underhill,ALB,2023-24,80,82,1,1,0,0,
Ivo Ashgrove,BRV,2025-26,79,82,2,1,0,0,
Ivo Ashgrove,BRV,2024-25,79,82,2,1,0,0,
Ivo Ashgrove,BRV,2023-24,79,82,2,1,0,0,
Lior Draven,CDR,2025-26,79,82,2,1,0,0,
Lior Draven,CDR,2024-25,76,82,3,3,0,0,
Lior Draven,CDR,2023-24,79,82,2,1,0,0,
Emeka Stroud,DLT,2025-26,56,82,4,4,18,0,recurring lower-body issue (fictional)
Emeka Stroud,DLT,2024-25,59,82,4,3,16,0,recurring lower-body issue (fictional)
Wes Garrow,EMB,2025-26,81,82,1,0,0,0,
Wes Garrow,EMB,2024-25,80,82,1,1,0,0,
Wes Garrow,EMB,2023-24,80,82,1,1,0,0,
Rowan Marlow,FRG,2025-26,78,82,2,2,0,0,
Rowan Marlow,FRG,2024-25,79,82,2,1,0,0,
Rowan Marlow,FRG,2023-24,76,82,3,3,0,0,
Linus Calloway,HVN,2025-26,77,82,3,2,0,0,
Linus Calloway,HVN,2024-25,80,82,1,1,0,0,
Linus Calloway,HVN,2023-24,80,82,1,1,0,0,
Vance Everly,IRN,2025-26,38,82,7,6,31,0,recurring lower-body issue (fictional)
Vance Everly,IRN,2024-25,36,82,7,7,32,0,recurring lower-body issue (fictional)
Dorian Northcott,JAD,2025-26,78,82,2,2,0,0,
Dorian Northcott,JAD,2024-25,77,82,3,2,0,0,
Ansel Stroud,KNG,2025-26,78,82,2,2,0,0,
Ansel Stroud,KNG,2024-25,77,82,3,2,0,0,
Ansel Stroud,KNG,2023-24,76,82,3,3,0,0,
Linus Lockhart,LYX,2025-26,78,82,2,2,0,0,
Linus Lockhart,LYX,2024-25,75,82,4,3,0,0,
Linus Lockhart,LYX,2023-24,75,82,4,3,0,0,
Bram Marlow,MTR,2025-26,79,82,2,1,0,0,
Bram Marlow,MTR,2024-25,78,82,2,2,0,0,
Bram Marlow,MTR,2023-24,79,82,2,1,0,0,
Bram Dunmore,NOV,2025-26,79,82,2,1,0,0,
Bram Dunmore,NOV,2024-25,77,82,3,2,0,0,
Bram Dunmore,NOV,2023-24,78,82,2,2,0,0,
Emeka Garrow,ORC,2025-26,78,82,2,2,0,0,
Emeka Garrow,ORC,2024-25,77,82,3,2,0,0,
Emeka Garrow,ORC,2023-24,79,82,2,1,0,0,
Vance Ingram,PHN,2025-26,80,82,1,1,0,0,
Vance Ingram,PHN,2024-25,80,82,1,1,0,0,
Vance Ingram,PHN,2023-24,80,82,1,1,0,0,
Idris Thorne,QST,2025-26,81,82,1,0,0,0,
Idris Thorne,QST,2024-25,80,82,1,1,0,0,
Idris Thorne,QST,2023-24,81,82,1,0,0,0,
Zane Stroud,RVR,2025-26,79,82,2,1,0,0,
Zane Stroud,RVR,2024-25,78,82,2,2,0,0,
Zane Stroud,RVR,2023-24,79,82,2,1,0,0,
Nico Oakridge,SUM,2025-26,80,82,1,1,0,0,
Nico Oakridge,SUM,2024-25,78,82,2,2,0,0,
Nico Oakridge,SUM,2023-24,78,82,2,2,0,0,
Rowan Hartwell,TID,2025-26,79,82,2,1,0,0,
Rowan Hartwell,TID,2024-25,80,82,1,1,0,0,
Rowan Hartwell,TID,2023-24,81,82,1,0,0,0,
Pax Wolcott,UMB,2025-26,79,82,2,1,0,0,
Pax Wolcott,UMB,2024-25,81,82,1,0,0,0,
Pax Wolcott,UMB,2023-24,81,82,1,0,0,0,
Yuri Fairbourne,VIP,2025-26,75,82,4,3,0,0,
Yuri Fairbourne,VIP,2024-25,75,82,4,3,0,0,
Yuri Fairbourne,VIP,2023-24,75,82,4,3,0,0,
Dante Zeller,WLD,2025-26,78,82,2,2,0,0,
Eli Corvell,XEN,2025-26,75,82,4,3,0,0,
Eli Corvell,XEN,2024-25,79,82,2,1,0,0,
Eli Corvell,XEN,2023-24,77,82,3,2,0,0,
Wes Kestrel,YTI,2025-26,77,82,3,2,0,0,
Wes Kestrel,YTI,2024-25,77,82,3,2,0,0,
Wes Kestrel,YTI,2023-24,79,82,2,1,0,0,
Jalen Yarrow,ZEP,2025-26,80,82,1,1,0,0,
Jalen Yarrow,ZEP,2024-25,81,82,1,0,0,0,
Jalen Yarrow,ZEP,2023-24,80,82,1,1,0,0,
Yuri Lockhart,ARC,2025-26,28,82,8,8,38,0,recurring lower-body issue (fictional)
Yuri Lockhart,ARC,2024-25,43,82,6,6,27,0,recurring lower-body issue (fictional)
Yuri Lockhart,ARC,2023-24,39,82,7,6,30,0,recurring lower-body issue (fictional)
Cyrus Lockhart,BOL,2025-26,80,82,1,1,0,0,
Cyrus Lockhart,BOL,2024-25,81,82,1,0,0,0,
Cyrus Lockhart,BOL,2023-24,79,82,2,1,0,0,
Linus Oakridge,CRS,2025-26,79,82,2,1,0,0,
Linus Oakridge,CRS,2024-25,79,82,2,1,0,0,
Linus Oakridge,CRS,2023-24,78,82,2,2,0,0,
Nico Eastlake,DUN,2025-26,81,82,1,0,0,0,
Nico Eastlake,DUN,2024-25,80,82,1,1,0,0,
Blake Hartwell,ALB,2025-26,79,82,2,1,0,0,
Blake Hartwell,ALB,2024-25,79,82,2,1,0,0,
Blake Hartwell,ALB,2023-24,79,82,2,1,0,0,
Jalen Ravensworth,BRV,2025-26,62,82,3,3,14,0,recurring lower-body issue (fictional)
Jalen Ravensworth,BRV,2024-25,53,82,5,4,20,0,recurring lower-body issue (fictional)
Jalen Ravensworth,BRV,2023-24,50,82,5,5,22,0,recurring lower-body issue (fictional)
Jalen Pembrook,CDR,2025-26,81,82,1,0,0,0,
Jalen Pembrook,CDR,2024-25,81,82,1,0,0,0,
Jalen Pembrook,CDR,2023-24,81,82,1,0,0,0,
Marek Marlow,DLT,2025-26,42,82,6,6,28,0,recurring lower-body issue (fictional)
Marek Marlow,DLT,2024-25,63,82,3,3,13,0,recurring lower-body issue (fictional)
Marek Marlow,DLT,2023-24,48,82,5,5,24,0,recurring lower-body issue (fictional)
Niall Draven,EMB,2025-26,80,82,1,1,0,0,
Niall Draven,EMB,2024-25,79,82,2,1,0,0,
Niall Draven,EMB,2023-24,80,82,1,1,0,0,
Jonah Oakridge,FRG,2025-26,78,82,2,2,0,0,
Jonah Oakridge,FRG,2024-25,78,82,2,2,0,0,
Jonah Oakridge,FRG,2023-24,79,82,2,1,0,0,
Linus Draven,GLN,2025-26,79,82,2,1,0,0,
Linus Draven,GLN,2024-25,81,82,1,0,0,0,
Linus Draven,GLN,2023-24,79,82,2,1,0,0,
Gage Everly,HVN,2025-26,47,82,5,5,25,0,recurring lower-body issue (fictional)
Gage Everly,HVN,2024-25,67,82,2,2,11,0,recurring lower-body issue (fictional)
Gage Everly,HVN,2023-24,55,82,4,4,19,0,recurring lower-body issue (fictional)
Lior Blackwood,IRN,2025-26,46,82,6,5,25,0,recurring lower-body issue (fictional)
Lior Blackwood,IRN,2024-25,48,82,5,5,24,0,recurring lower-body issue (fictional)
Lior Blackwood,IRN,2023-24,63,82,3,3,13,0,recurring lower-body issue (fictional)
Galen Eastlake,JAD,2025-26,81,82,1,0,0,0,
Tate Quill,LYX,2025-26,47,82,5,5,25,0,recurring lower-body issue (fictional)
Tate Quill,LYX,2024-25,29,82,8,8,37,0,recurring lower-body issue (fictional)
Tate Quill,LYX,2023-24,58,82,4,3,17,0,recurring lower-body issue (fictional)
Yuri Marlow,MTR,2025-26,81,82,1,0,0,0,
Yuri Marlow,MTR,2024-25,81,82,1,0,0,0,
Yuri Marlow,MTR,2023-24,81,82,1,0,0,0,
Jonah Thorne,NOV,2025-26,79,82,2,1,0,0,
Jonah Thorne,NOV,2024-25,79,82,2,1,0,0,
Jonah Thorne,NOV,2023-24,80,82,1,1,0,0,
Pax Jessop,ORC,2025-26,38,82,7,6,31,0,recurring lower-body issue (fictional)
Pax Jessop,ORC,2024-25,42,82,6,6,28,0,recurring lower-body issue (fictional)
Pax Jessop,ORC,2023-24,53,82,5,4,20,0,recurring lower-body issue (fictional)
Soren Draven,PHN,2025-26,81,82,1,0,0,0,
Soren Draven,PHN,2024-25,79,82,2,1,0,0,
Vance Fairbourne,QST,2025-26,65,82,3,2,12,0,recurring lower-body issue (fictional)
Vance Fairbourne,QST,2024-25,68,82,2,2,10,0,recurring lower-body issue (fictional)
Vance Fairbourne,QST,2023-24,65,82,3,2,12,0,recurring lower-body issue (fictional)
Zane Pembrook,RVR,2025-26,78,82,2,2,0,0,
Zane Pembrook,RVR,2024-25,79,82,2,1,0,0,
Zane Pembrook,RVR,2023-24,78,82,2,2,0,0,
Jonah Blackwood,SUM,2025-26,77,82,3,2,0,0,
Jonah Blackwood,SUM,2024-25,75,82,4,3,0,0,
Jonah Blackwood,SUM,2023-24,78,82,2,2,0,0,
Galen Vexley,TID,2025-26,80,82,1,1,0,0,
Galen Vexley,TID,2024-25,80,82,1,1,0,0,
Galen Vexley,TID,2023-24,79,82,2,1,0,0,
Yuri Dunmore,UMB,2025-26,74,82,4,4,0,0,
Yuri Dunmore,UMB,2024-25,79,82,2,1,0,0,
Yuri Dunmore,UMB,2023-24,79,82,2,1,0,0,
Tate Northcott,VIP,2025-26,80,82,1,1,0,0,
Tate Northcott,VIP,2024-25,81,82,1,0,0,0,
Tate Northcott,VIP,2023-24,81,82,1,0,0,0,
Blake Fairbourne,WLD,2025-26,78,82,2,2,0,0,
Blake Fairbourne,WLD,2024-25,79,82,2,1,0,0,
Blake Fairbourne,WLD,2023-24,79,82,2,1,0,0,
Finn Northcott,XEN,2025-26,79,82,2,1,0,0,
Finn Northcott,XEN,2024-25,77,82,3,2,0,0,
Finn Northcott,XEN,2023-24,78,82,2,2,0,0,
Wes Vexley,YTI,2025-26,40,82,7,6,29,0,recurring lower-body issue (fictional)
Idris Abernet,ZEP,2025-26,76,82,3,3,0,0,
Idris Abernet,ZEP,2024-25,75,82,4,3,0,0,
Idris Abernet,ZEP,2023-24,74,82,4,4,0,0,
Milo Marlow,BOL,2025-26,78,82,2,2,0,0,
Milo Marlow,BOL,2024-25,79,82,2,1,0,0,
Milo Marlow,BOL,2023-24,80,82,1,1,0,0,
Marek Blackwood,CRS,2025-26,76,82,3,3,0,0,
Marek Blackwood,CRS,2024-25,77,82,3,2,0,0,
Marek Blackwood,CRS,2023-24,77,82,3,2,0,0,
Wes Oakridge,DUN,2025-26,78,82,2,2,0,0,
Wes Oakridge,DUN,2024-25,78,82,2,2,0,0,
Wes Oakridge,DUN,2023-24,79,82,2,1,0,0,
