player,team,positions,yahooXRank,yahooRank,yahooL7Adp,providerRank,providerAdp,engineBpvRank,engineSeasonRank,enginePerGameRank,engineNeutral9CatRank,gp,strengths,weaknesses,risk,availabilityScore,disagreementFlags,deltaEngineVsProvider,deltaEngineVsXRank,deltaYahooL7AdpVsProviderAdp,severity,tentativeClasses,evidence
Ulises Vexley,NOV,PG,150,175,143.7,157,,112,103,118,116,73,AST,FG%; REB; BLK,LOW,90,,45,38,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Hugo Lockhart,UMB,SG/SF,69,76,82.3,84,,113,109,116,114,71,,FG%,LOW,97,,-29,-44,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Gage Northcott,GLN,SG/SF,101,116,111.5,102,,114,139,89,86,56,,,HIGH,62,,-12,-13,,NONE,,
Linus Underhill,ORC,SF/PF,136,149,147.4,151,,115,107,120,113,73,STL,,LOW,98,,36,21,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Ansel Stroud,KNG,C,244,229,,241,,116,116,117,112,70,FG%; REB,FT%; 3PM,LOW,98,Yahoo review: adp,125,128,,MAJOR,SOURCE_DATA_MISMATCH; PERCENTAGE_VOLUME_DIFFERENCE,"Yahoo review: adp; volume-weighted z FG 1.29, FT -2.17"
Vance Calloway,LYX,PF,146,151,159.6,150,,117,102,129,126,77,,,LOW,99,,33,29,,MAJOR,GP_DURABILITY_ADJUSTMENT,"GP 77, per-game rank 129 vs season-blended rank 117, risk LOW"
Avery Quill,FRG,C,234,228,,233,,118,114,121,115,72,BLK,3PM; PTS; STL,LOW,90,Yahoo review: adp,115,116,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Kade Ashgrove,FRG,PG,148,128,142.8,141,,119,146,91,93,56,STL,REB; BLK,HIGH,53,,22,29,,DISAGREE,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 56, per-game rank 91 vs season-blended rank 119, risk HIGH; neutral 9-cat rank 93 vs BPV rank 119 (TO weight 0.75)"
Finn Eastlake,GLN,C,229,247,,244,,120,110,123,119,74,FG%; BLK,3PM; PTS; STL,LOW,90,Yahoo review: adp,124,109,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Galen Vexley,TID,C,197,197,,177,,121,104,133,127,77,BLK,3PM,LOW,97,Yahoo review: adp,56,76,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT,"Yahoo review: adp; GP 77, per-game rank 133 vs season-blended rank 121, risk LOW"
Hollis Northcott,YTI,PF/C,119,147,109.3,115,,122,101,136,136,78,,BLK,LOW,90,,-7,-3,,NONE,,
Rowan Calloway,ORC,SF/PF,86,88,94.9,74,,123,113,126,133,74,,FG%,LOW,95,,-49,-37,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG -1.82, FT 0.18; neutral 9-cat rank 133 vs BPV rank 123 (TO weight 0.75)"
Lior Draven,CDR,SG/SF,191,189,172.7,181,,124,111,128,132,75,FT%,BLK,LOW,98,,57,67,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Cam Garrow,TID,C,91,61,91.9,95,,125,115,124,131,73,FG%; REB,FT%; 3PM,LOW,90,,-30,-34,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG 1.92, FT -1.84"
Blake Calloway,TID,SF/PF,179,165,178.6,168,,126,112,132,122,75,TO,,LOW,99,,42,53,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Florian Pembrook,XEN,SG,72,63,82.6,81,,127,124,122,130,71,,,LOW,97,,-46,-55,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Bram Pembrook,CDR,SG/SF,75,71,56.4,55,,128,120,130,139,73,3PM,FG%,LOW,96,,-73,-53,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG -2.42, FT 0.64; neutral 9-cat rank 139 vs BPV rank 128 (TO weight 0.75)"
Wes Garrow,EMB,SG,163,190,182.1,180,,129,119,135,134,74,,REB,LOW,96,,51,34,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Quincy Kestrel,JAD,C,248,227,,234,,130,125,139,137,74,BLK,3PM; PTS; STL,LOW,90,Yahoo review: adp,104,118,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Blake Blackwood,ALB,SG/SF,116,107,114.5,104,,131,143,119,117,62,,FG%,MODERATE,73,,-27,-15,,DISAGREE,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 62, per-game rank 119 vs season-blended rank 131, risk MODERATE; neutral 9-cat rank 117 vs BPV rank 131 (TO weight 0.75)"
Bram Hartwell,MTR,C,143,132,125.1,116,,132,123,143,141,76,,3PM; STL,LOW,99,,-16,11,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 76, per-game rank 143 vs season-blended rank 132, risk LOW"
Niall Abernet,XEN,PG,68,87,86.2,78,,133,191,90,118,48,AST; STL,REB; BLK; TO,VERY_HIGH,44,projection Δ vs bbm,-55,-65,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; GP 48, per-game rank 90 vs season-blended rank 133, risk VERY_HIGH; neutral 9-cat rank 118 vs BPV rank 133 (TO weight 0.75)"
Finn Ravensworth,KNG,PG,117,110,114.1,123,,134,127,138,152,73,,REB,LOW,97,,-11,-17,,DISAGREE,INTENTIONAL_ENGINE_BEHAVIOR,neutral 9-cat rank 152 vs BPV rank 134 (TO weight 0.75)
Zane Pembrook,RVR,SF,213,217,,217,,135,135,131,125,68,,BLK,LOW,98,Yahoo review: adp,82,78,,MAJOR,SOURCE_DATA_MISMATCH; INTENTIONAL_ENGINE_BEHAVIOR,Yahoo review: adp; neutral 9-cat rank 125 vs BPV rank 135 (TO weight 0.75)
Idris Fairbourne,FRG,PG/SG,99,114,104.9,98,,136,128,142,157,74,AST; STL,FG%; BLK; TO,LOW,98,,-38,-37,,MAJOR,INTENTIONAL_ENGINE_BEHAVIOR,neutral 9-cat rank 157 vs BPV rank 136 (TO weight 0.75)
Niall Corvell,MTR,PG/SG,112,113,118.2,122,,137,129,144,153,74,,REB; BLK,LOW,98,,-15,-25,,DISAGREE,INTENTIONAL_ENGINE_BEHAVIOR,neutral 9-cat rank 153 vs BPV rank 137 (TO weight 0.75)
Bram Wolcott,PHN,SF,134,124,118.2,106,,138,130,145,140,74,,,LOW,97,,-32,-4,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Yuri Oakridge,WLD,PF,100,94,106.6,114,,139,137,137,135,68,,STL,LOW,99,,-25,-39,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Marek Kestrel,KNG,PF/C,235,223,,216,,140,121,153,149,80,TO,,LOW,90,Yahoo review: adp,76,95,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT,"Yahoo review: adp; GP 80, per-game rank 153 vs season-blended rank 140, risk LOW"
Orin Underhill,BOL,PF,219,215,,209,,141,122,154,151,80,TO,STL,LOW,89,Yahoo review: adp,68,78,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 80, per-game rank 154 vs season-blended rank 141, risk LOW; neutral 9-cat rank 151 vs BPV rank 141 (TO weight 0.75)"
Yuri Abernet,YTI,PF,132,118,122.7,113,,142,133,149,147,74,,,LOW,90,,-29,-10,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Finn Oakridge,ZEP,PF,109,117,101.1,112,,143,212,97,94,47,,,VERY_HIGH,49,,-31,-34,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 47, per-game rank 97 vs season-blended rank 143, risk VERY_HIGH; neutral 9-cat rank 94 vs BPV rank 143 (TO weight 0.75)"
Ansel Pembrook,TID,PF,115,96,106.2,105,,144,138,147,144,70,,,LOW,97,,-39,-29,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Nico Oakridge,SUM,C,215,221,,197,,145,141,152,148,71,BLK,3PM; PTS; STL,LOW,98,Yahoo review: adp,52,70,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Orin Everly,ZEP,PG,174,156,182.9,163,,146,134,160,161,78,,REB; BLK,LOW,90,,17,28,,DISAGREE,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 78, per-game rank 160 vs season-blended rank 146, risk LOW; neutral 9-cat rank 161 vs BPV rank 146 (TO weight 0.75)"
Jalen Ravensworth,BRV,C,282,277,,292,,147,176,134,124,58,TO,3PM; PTS,MODERATE,70,Yahoo review: adp,145,135,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 58, per-game rank 134 vs season-blended rank 147, risk MODERATE; neutral 9-cat rank 124 vs BPV rank 147 (TO weight 0.75)"
Pax Jessop,ORC,C,227,256,,223,,148,188,127,129,56,BLK,3PM; STL,VERY_HIGH,47,Yahoo review: adp,75,79,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 56, per-game rank 127 vs season-blended rank 148, risk VERY_HIGH; neutral 9-cat rank 129 vs BPV rank 148 (TO weight 0.75)"
Emeka Pembrook,TID,C,270,278,,283,,149,142,157,154,73,TO,3PM; PTS; STL,LOW,87,Yahoo review: adp,134,121,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Cyrus Lockhart,BOL,SG,171,171,185.4,164,,150,144,156,155,72,,,LOW,99,,14,21,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Orin Abernet,XEN,PG/SG,94,90,100.9,103,,151,170,141,150,62,AST,BLK,HIGH,68,,-48,-57,,MAJOR,GP_DURABILITY_ADJUSTMENT,"GP 62, per-game rank 141 vs season-blended rank 151, risk HIGH"
Pax Zeller,XEN,SF/PF,152,160,152.6,152,,152,153,155,156,70,,,LOW,99,,0,0,,NONE,,
Linus Blackwood,KNG,PF,96,92,91.4,85,,153,148,158,158,72,,STL,LOW,97,,-68,-57,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Xander Stroud,CRS,SG/SF,126,120,115.7,121,,154,147,159,159,73,,,LOW,94,,-33,-28,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Hugo Zeller,BRV,SF,153,161,153.8,144,,155,209,125,128,53,,,HIGH,68,,-11,-2,,NONE,,
Xander Blackwood,SUM,SF,66,70,74.2,73,,156,145,161,173,74,,FG%; FT%,LOW,97,,-83,-90,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"volume-weighted z FG -1.61, FT -1.46; neutral 9-cat rank 173 vs BPV rank 156 (TO weight 0.75)"
Linus Oakridge,CRS,SF,217,205,,222,,157,149,162,166,74,,PTS,LOW,99,Yahoo review: adp,65,60,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Bram Eastlake,MTR,PG/SG,224,234,,236,,158,140,176,179,78,,PTS; REB,LOW,90,Yahoo review: adp,78,66,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 78, per-game rank 176 vs season-blended rank 158, risk LOW; neutral 9-cat rank 179 vs BPV rank 158 (TO weight 0.75)"
Cam Wolcott,SUM,PF/C,125,125,123,111,,159,156,167,167,73,,STL,LOW,100,,-48,-34,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Galen Calloway,DUN,C,84,78,78.1,79,,160,154,171,188,74,REB,FT%; 3PM; STL,LOW,98,,-81,-76,,MAJOR,GP_DURABILITY_ADJUSTMENT; PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"GP 74, per-game rank 171 vs season-blended rank 160, risk LOW; volume-weighted z FG 0.98, FT -1.56; neutral 9-cat rank 188 vs BPV rank 160 (TO weight 0.75)"
Blake Ravensworth,CDR,C,287,300,,293,,161,158,169,162,73,TO,3PM; PTS,LOW,90,Yahoo review: adp,132,126,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Tate Northcott,VIP,SG/SF,141,146,149.1,138,,162,159,165,165,72,,REB,LOW,97,,-24,-21,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Eli Underhill,EMB,SG/SF,135,139,142.1,135,,163,151,174,169,75,,,LOW,98,,-28,-28,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 75, per-game rank 174 vs season-blended rank 163, risk LOW"
Gage Stroud,TID,PF/C,262,272,,257,,164,161,166,163,72,,PTS; STL,LOW,88,Yahoo review: adp,93,98,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Florian Stroud,SUM,SG/SF,90,86,96.7,101,,165,155,172,172,74,,,LOW,99,,-64,-75,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Hollis Garrow,IRN,SF,211,214,,202,,166,162,168,160,72,TO,,LOW,98,Yahoo review: adp,36,45,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Eli Garrow,HVN,SF,202,196,,195,,167,157,179,181,75,,,LOW,90,Yahoo review: adp,28,35,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 75, per-game rank 179 vs season-blended rank 167, risk LOW; neutral 9-cat rank 181 vs BPV rank 167 (TO weight 0.75)"
Orin Eastlake,RVR,PF/C,205,200,,198,,168,152,189,185,78,,STL,LOW,98,Yahoo review: adp,30,37,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 78, per-game rank 189 vs season-blended rank 168, risk LOW; neutral 9-cat rank 185 vs BPV rank 168 (TO weight 0.75)"
Jalen Northcott,KNG,SF/PF,184,182,185.3,186,,169,160,183,182,75,,PTS,LOW,98,,17,15,,DISAGREE,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 75, per-game rank 183 vs season-blended rank 169, risk LOW; neutral 9-cat rank 182 vs BPV rank 169 (TO weight 0.75)"
Hollis Wolcott,HVN,C,147,154,171.2,154,,170,214,148,142,56,FG%; TO,FT%; 3PM,LOW,90,,-16,-23,,DISAGREE,GP_DURABILITY_ADJUSTMENT; PERCENTAGE_VOLUME_DIFFERENCE; INTENTIONAL_ENGINE_BEHAVIOR,"GP 56, per-game rank 148 vs season-blended rank 170, risk LOW; volume-weighted z FG 1.11, FT -1.73; neutral 9-cat rank 142 vs BPV rank 170 (TO weight 0.75)"
Ulises Ingram,CDR,PG,200,194,,210,,171,172,170,175,69,,REB; BLK,LOW,90,Yahoo review: adp,39,29,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Florian Calloway,GLN,SF,127,135,130.1,127,,172,171,173,170,70,,,LOW,90,,-45,-45,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Milo Pembrook,ZEP,C,228,218,,215,,173,167,178,171,72,BLK,3PM; PTS; STL,LOW,91,Yahoo review: adp,42,55,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Yuri Fairbourne,VIP,C,140,145,143.4,137,,174,165,185,183,74,FG%,FT%; 3PM; STL,LOW,92,,-37,-34,,MAJOR,GP_DURABILITY_ADJUSTMENT; PERCENTAGE_VOLUME_DIFFERENCE,"GP 74, per-game rank 185 vs season-blended rank 174, risk LOW; volume-weighted z FG 1.01, FT -1.81"
Finn Calloway,MTR,SF,123,143,135.3,142,,175,164,188,189,75,,,LOW,99,,-33,-52,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 75, per-game rank 188 vs season-blended rank 175, risk LOW; neutral 9-cat rank 189 vs BPV rank 175 (TO weight 0.75)"
Jonah Vexley,UMB,C,178,170,171.7,174,,176,228,140,138,49,BLK,FT%; 3PM; STL,HIGH,60,,-2,2,,NONE,,
Zane Wolcott,DLT,SG/SF,139,127,133,126,,177,163,194,199,78,,REB,LOW,97,,-51,-38,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 78, per-game rank 194 vs season-blended rank 177, risk LOW; neutral 9-cat rank 199 vs BPV rank 177 (TO weight 0.75)"
Hollis Thorne,CRS,C,154,133,157.3,166,,178,168,190,191,75,BLK,FT%; 3PM; PTS; STL,LOW,90,,-12,-24,,DISAGREE,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 75, per-game rank 190 vs season-blended rank 178, risk LOW; neutral 9-cat rank 191 vs BPV rank 178 (TO weight 0.75)"
Cam Thorne,WLD,SG/SF,137,122,127.4,133,,179,180,181,184,69,,,LOW,98,,-46,-42,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Galen Quill,NOV,SF,124,112,123.1,128,,180,166,192,197,76,,,LOW,97,,-52,-56,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 76, per-game rank 192 vs season-blended rank 180, risk LOW; neutral 9-cat rank 197 vs BPV rank 180 (TO weight 0.75)"
Ivo Vexley,VIP,PF/C,104,101,110.8,97,,181,234,146,143,49,,,HIGH,68,,-84,-77,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 49, per-game rank 146 vs season-blended rank 181, risk HIGH; neutral 9-cat rank 143 vs BPV rank 181 (TO weight 0.75)"
Ivo Calloway,HVN,PG,166,166,166.8,170,,182,187,187,190,69,,REB; BLK,LOW,97,,-12,-16,,DISAGREE,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Linus Draven,GLN,SG,271,259,,245,,183,173,193,200,74,,REB; BLK,LOW,99,Yahoo review: adp,62,88,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 74, per-game rank 193 vs season-blended rank 183, risk LOW; neutral 9-cat rank 200 vs BPV rank 183 (TO weight 0.75)"
Gage Birchwell,PHN,C,186,199,,188,,184,227,151,145,52,BLK; TO,3PM; PTS; STL,VERY_HIGH,45,Yahoo review: adp,4,2,,NONE,,
Dorian Northcott,JAD,SF/PF,257,267,,249,,185,178,191,187,72,TO,PTS,LOW,98,Yahoo review: adp,64,72,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Ansel Lockhart,ALB,C,230,237,,227,,186,174,198,196,74,TO,3PM; PTS; STL,LOW,90,Yahoo review: adp,41,44,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"Yahoo review: adp; GP 74, per-game rank 198 vs season-blended rank 186, risk LOW; neutral 9-cat rank 196 vs BPV rank 186 (TO weight 0.75)"
Rowan Oakridge,BOL,SG,195,208,,203,,187,177,196,194,73,,REB,MODERATE,84,Yahoo review: adp,16,8,,DISAGREE,SOURCE_DATA_MISMATCH,Yahoo review: adp
Niall Jessop,BOL,PG,175,172,183.6,185,,188,169,206,216,78,,REB; BLK,LOW,99,,-3,-13,,NONE,,
Quincy Lockhart,QST,PF,293,292,,295,,189,185,197,192,72,TO,PTS; STL,LOW,90,Yahoo review: adp,106,104,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Hollis Pembrook,UMB,SF,258,264,,265,,190,182,199,195,73,TO,PTS,LOW,90,Yahoo review: adp,75,68,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Finn Northcott,XEN,SG,199,187,189.2,192,,191,189,195,193,71,,REB; BLK,LOW,98,,1,8,,NONE,,
Xander Eastlake,ORC,SG/SF,221,224,,229,,192,184,200,198,73,,REB; STL; BLK,LOW,87,Yahoo review: adp,37,29,,MAJOR,SOURCE_DATA_MISMATCH,Yahoo review: adp
Ivo Ashgrove,BRV,SF/PF,122,111,126.5,118,,193,179,204,205,75,,BLK,LOW,99,,-75,-71,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 75, per-game rank 204 vs season-blended rank 193, risk LOW; neutral 9-cat rank 205 vs BPV rank 193 (TO weight 0.75)"
Rowan Northcott,ZEP,PF/C,158,148,158.9,149,,194,183,217,211,77,,STL,LOW,98,,-45,-36,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 77, per-game rank 217 vs season-blended rank 194, risk LOW; neutral 9-cat rank 211 vs BPV rank 194 (TO weight 0.75)"
Ulises Marlow,FRG,SF,138,150,146.2,147,,195,199,202,201,71,,,LOW,99,,-48,-57,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Zane Calloway,KNG,PG/SG,243,238,,247,,196,232,164,174,54,,REB; BLK,LOW,87,projection Δ vs bbm; Yahoo review: adp,51,47,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; Yahoo review: adp; GP 54, per-game rank 164 vs season-blended rank 196, risk LOW; neutral 9-cat rank 174 vs BPV rank 196 (TO weight 0.75)"
Hugo Calloway,QST,PF,149,144,129.8,153,,197,196,207,208,72,,STL,LOW,98,,-44,-48,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 72, per-game rank 207 vs season-blended rank 197, risk LOW; neutral 9-cat rank 208 vs BPV rank 197 (TO weight 0.75)"
Soren Wolcott,FRG,PF/C,76,66,78.3,71,,198,253,150,146,45,,STL,HIGH,64,projection Δ vs bbm,-127,-122,,MAJOR,SOURCE_DATA_MISMATCH; GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"projection Δ vs bbm; GP 45, per-game rank 150 vs season-blended rank 198, risk HIGH; neutral 9-cat rank 146 vs BPV rank 198 (TO weight 0.75)"
Linus Everly,PHN,SG,106,134,118.3,119,,199,203,205,203,71,,PTS; REB; BLK,LOW,98,,-80,-93,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Kellan Calloway,WLD,SG/SF,155,180,154.8,158,,200,190,215,212,75,,STL,LOW,92,,-42,-45,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 75, per-game rank 215 vs season-blended rank 200, risk LOW; neutral 9-cat rank 212 vs BPV rank 200 (TO weight 0.75)"
Bram Birchwell,DLT,PG/SG,142,119,139.4,155,,201,207,201,222,70,,REB; BLK,LOW,99,,-46,-59,,MAJOR,INTENTIONAL_ENGINE_BEHAVIOR,neutral 9-cat rank 222 vs BPV rank 201 (TO weight 0.75)
Bram Marlow,MTR,SG/SF,181,173,187.6,187,,202,194,212,209,74,,PTS,LOW,97,,-15,-21,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 74, per-game rank 212 vs season-blended rank 202, risk LOW"
Jalen Ingram,IRN,SF/PF,165,178,165.7,156,,204,186,221,217,78,TO,STL,LOW,90,,-48,-39,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 78, per-game rank 221 vs season-blended rank 204, risk LOW; neutral 9-cat rank 217 vs BPV rank 204 (TO weight 0.75)"
Nico Ashgrove,BRV,PG,185,203,178.3,184,,205,202,209,224,72,,FG%; REB; BLK,LOW,96,,-21,-20,,DISAGREE,INTENTIONAL_ENGINE_BEHAVIOR,neutral 9-cat rank 224 vs BPV rank 205 (TO weight 0.75)
Emeka Garrow,ORC,SF,192,193,191.1,182,,209,192,220,214,76,TO,,LOW,97,,-27,-17,,DISAGREE,GP_DURABILITY_ADJUSTMENT,"GP 76, per-game rank 220 vs season-blended rank 209, risk LOW"
Nico Dunmore,KNG,PF/C,188,152,180.5,176,,211,193,224,221,77,TO,PTS; STL,LOW,99,,-35,-23,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 77, per-game rank 224 vs season-blended rank 211, risk LOW; neutral 9-cat rank 221 vs BPV rank 211 (TO weight 0.75)"
Marek Blackwood,CRS,PF,203,202,,200,,213,213,214,207,71,TO,PTS; STL,LOW,94,Yahoo review: adp,-13,-10,,NONE,,
Gage Everly,HVN,SF,176,167,177.8,196,,214,235,184,180,56,,PTS,HIGH,65,,-18,-38,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 56, per-game rank 184 vs season-blended rank 214, risk HIGH; neutral 9-cat rank 180 vs BPV rank 214 (TO weight 0.75)"
Jalen Zeller,GLN,PF,144,136,134.5,130,,216,242,175,176,52,,,HIGH,57,,-86,-72,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 52, per-game rank 175 vs season-blended rank 216, risk HIGH; neutral 9-cat rank 176 vs BPV rank 216 (TO weight 0.75)"
Rowan Eastlake,CDR,PG,159,184,167.1,165,,221,218,223,228,71,,REB; BLK,LOW,99,,-56,-62,,MAJOR,LIKELY_ENGINE_DEFECT,"No data, durability, percentage or intentional-weighting explanation found — investigate manually."
Avery Ashgrove,ALB,SG,157,159,163.2,161,,223,250,182,186,51,,FG%,HIGH,65,,-62,-66,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 51, per-game rank 182 vs season-blended rank 223, risk HIGH; neutral 9-cat rank 186 vs BPV rank 223 (TO weight 0.75)"
Wes Oakridge,DUN,SG/SF,145,137,149.6,143,,225,219,225,229,70,,FG%; BLK,LOW,98,,-82,-80,,MAJOR,PERCENTAGE_VOLUME_DIFFERENCE,"volume-weighted z FG -1.82, FT 0.25"
Zane Jessop,QST,PG,128,115,140.6,129,,226,208,239,248,80,,FG%; REB; BLK,LOW,94,,-97,-98,,MAJOR,GP_DURABILITY_ADJUSTMENT; INTENTIONAL_ENGINE_BEHAVIOR,"GP 80, per-game rank 239 vs season-blended rank 226, risk LOW; neutral 9-cat rank 248 vs BPV rank 226 (TO weight 0.75)"
