Name,Team,g,m/g,fgm,fga,ftm,fta,3pm,pts,reb,ast,stl,blk,to
Yuri Dunmore,UMB,72,21.6,2.5,5.6,1.3,1.4,1.1,6.6,2.6,2.7,0.4,0.3,1
Tate Northcott,VIP,73,24.8,4.5,8.5,1.8,2.3,1.4,9.4,3.5,2.7,0.9,0.3,1.2
Blake Fairbourne,WLD,74,20.8,3.1,8.2,0.7,0.7,1.1,8.6,2.8,2.2,0.5,0.3,0.8
Finn Northcott,XEN,72,22.2,3.2,6.3,1.1,1.4,1.4,7.9,3.5,2.6,0.8,0.3,1
Wes Vexley,YTI,43,18.8,3.2,6.5,0.8,1.8,1.2,4.8,2.4,1.2,0.5,0.7,1.3
Idris Abernet,ZEP,71,17.6,1.6,3.4,0.9,1.3,0.4,4.4,3.9,1.6,0.5,0.4,0.4
Marek Thorne,ARC,73,19.6,3.7,8.4,1.6,2.1,1.2,9.5,4.2,1.4,0.5,0.5,1
Milo Marlow,BOL,73,22.5,2.7,6.3,1.6,2,0.9,8.3,4.5,1.5,0.3,0.7,1.1
Marek Blackwood,CRS,73,19.8,2.4,4.6,1,1.1,0.8,5.6,5.2,1.4,0.3,0.9,0.9
Wes Oakridge,DUN,71,25.2,4.3,11.2,2.2,2.7,2,11.4,3.9,3.7,1,0.1,1.6
Ansel Lockhart,ALB,75,23.1,2.4,4.3,1.3,1.9,0.2,6.5,6.9,1.8,0.4,0.8,1
Orin Garrow,BRV,71,21.7,2.3,4.8,1.2,1.4,0.9,6.8,3.6,1.8,0.4,0.5,1
Ulises Ingram,CDR,70,20.8,3.6,7.6,1.9,2.2,1.6,10.4,2.5,3.9,0.8,0.2,1.7
Kade Lockhart,DLT,73,15.8,1.6,3.6,0.9,1.1,0.7,4.5,2.2,1.6,0.5,0.1,0.8
Dante Dunmore,EMB,80,15.4,2,4.8,1,1.1,0.8,5.4,1.7,2,0.3,0.2,0.6
Avery Quill,FRG,74,22.5,3,4.3,1.4,2.3,0.3,7.2,8,1.7,0.5,1.3,1
Kade Ingram,GLN,58,24.5,2.8,4.7,1.5,2.4,0.2,7.4,10.3,1.9,0.6,1.3,0.9
Hollis Wolcott,HVN,57,24.6,3.6,6.4,2.3,3.7,0.2,9.8,8,1.8,0.6,0.9,0.9
Jalen Ingram,IRN,78,22.7,5.2,10.4,2,2.4,0.8,12,4.4,1.9,0.5,0.5,0.9
Quincy Kestrel,JAD,76,20.7,2,3.2,1.1,1.6,0.2,4.8,8.1,1.9,0.5,1.4,1
Zane Calloway,KNG,47,21.5,2.7,9.6,1.4,1.8,2.4,15.2,3.9,3.2,0.9,0.2,1.8
Zane Ravensworth,LYX,54,17.4,2.9,5.7,1.7,2.5,0.1,8.2,4.7,1.2,0.5,0.9,0.7
Bram Eastlake,MTR,80,20.8,2.5,5.5,1.6,1.8,1.6,8.2,2.6,4.2,0.9,0.3,1.6
Ulises Vexley,NOV,74,29.1,4.9,12.7,1.8,1.8,2,12.9,3.2,5.5,1.1,0.2,1.8
Xander Eastlake,ORC,74,22.6,3.7,8,2.1,2.6,1.5,11.4,3.2,2.6,0.5,0.2,1
Milo Stroud,PHN,76,19.4,3.2,5.4,1.5,2,0.8,8.4,4.7,1.3,0.5,0.5,1
Quincy Lockhart,QST,73,20.6,2.4,5.4,1.9,2.2,0.8,6.7,4.5,1.3,0.5,1.3,0.7
Eli Fairbourne,RVR,77,24.4,2.7,4.6,1.3,1.9,0.3,7.1,10.3,1.7,0.6,1.8,1.2
Kellan Fairbourne,SUM,78,17.8,3.3,9,2.1,2.7,0.9,9.7,3.4,1.5,0.4,0.2,1
Gage Stroud,TID,74,22.4,3.1,6.5,1.3,1.7,0.9,9,5.3,1.5,0.6,1,0.9
Gage Marlow,UMB,75,19.5,2.3,5.2,1.3,1.4,0.9,6.5,5.1,1.3,0.5,0.5,0.4
Marek Fairbourne,VIP,72,19.4,2.4,4.8,1,2,0.2,6.6,6,1.9,0.4,1,0.6
Xander Jessop,WLD,46,20,2.1,4.9,1.3,1.6,1.1,6.3,2.2,2.7,0.6,0.2,1.2
Florian Lockhart,XEN,80,17.1,2.4,4.4,1.4,1.9,0.2,6.1,6,1,0.3,0.8,0.8
Yuri Abernet,YTI,75,24.3,3.4,7.1,1.7,1.7,1.3,8.8,6.5,1.7,0.6,0.9,1.5
Jalen Marlow,ZEP,80,18.8,2.3,5.5,0.9,0.9,1.2,6.8,2.5,3.4,0.7,0.2,1.1
Kellan Abernet,ARC,70,23,3.2,7.1,1.9,2,0.8,8.4,3.6,2.1,0.4,0.5,1
Rowan Oakridge,BOL,75,24,3,6.6,1.2,1.5,1.6,8.8,3.3,3.5,0.6,0.4,1
Emeka Yarrow,CRS,68,18.8,2.4,4.3,1.3,2,0.1,6.3,7.1,1.6,0.4,0.7,0.7
Ulises Corvell,DUN,48,20.1,2.1,4.6,0.9,1.1,0.7,5.3,3.7,2.1,0.5,0.5,0.5
Nico Fairbourne,ALB,74,23.8,3.2,5,1.7,2.5,0.2,7.1,8.2,1.9,0.8,1.4,1
Tate Fairbourne,BRV,77,20.3,2,4.6,1.1,1.3,0.5,5.5,2.4,3.1,0.7,0.2,1.5
Blake Ravensworth,CDR,75,19.5,2.1,3.8,0.8,1.4,0.2,6.1,7,1.2,0.6,1,0.9
Dorian Jessop,DLT,75,20,2.5,5,1.1,1.5,0.7,6.9,4.5,1.3,0.3,0.9,0.7
Cam Draven,EMB,77,21.5,3,5,1.5,2.3,0.1,7.3,5.1,1.1,0.6,0.9,1.2
Linus Birchwell,FRG,70,20.6,2.5,5.1,1.2,1.4,0.5,5.5,4.1,1.6,0.3,0.5,0.7
Finn Eastlake,GLN,75,20,3.1,5.2,1.4,2.2,0.2,8.5,7,1.5,0.5,1.6,1
Eli Garrow,HVN,76,25.2,5.5,10.5,1.7,1.8,1.5,14.2,4.3,2.1,0.6,0.4,1.4
Dante Garrow,IRN,76,19.6,3.5,8.7,1.3,1.7,0.9,8.5,4.3,1.2,0.5,0.4,0.8
Idris Oakridge,JAD,51,21.6,2.8,7,1.6,2.6,1.1,7.9,4.2,1.7,1,0.5,1
Marek Kestrel,KNG,81,19.6,3,6,1.9,2.3,0.8,8.1,4.7,1.5,0.6,0.8,0.8
Niall Dunmore,LYX,74,19.2,3.5,7,2,2.6,1.2,9.7,2.3,2.4,0.6,0.4,1.2
Linus Ashgrove,MTR,82,16.7,1.2,2.6,0.5,0.5,0.6,3.4,2.6,1.6,0.8,0.4,0.5
Ivo Wolcott,NOV,48,18.3,2.2,3.8,1,1.2,1.2,5.5,2.7,3.4,0.6,0.2,1
Vance Jessop,ORC,75,22,2.1,3.7,1.3,2.2,0.9,6.7,4.4,2.1,0.6,0.5,0.9
Blake Stroud,PHN,71,19.8,2.1,4.7,1.2,1.5,0.6,5.7,2.7,2.5,0.9,0.2,1.1
Wes Marlow,QST,75,21,2.5,5.4,1.7,2,0.6,7.6,3.3,1.9,0.9,0.6,0.9
Cyrus Ravensworth,RVR,77,17.2,1.7,4.4,0.8,1,0.7,4.2,1.9,2.2,0.7,0.2,1
Hugo Draven,SUM,73,19.5,2.2,4.3,1.2,1.5,1,6.2,2.6,2.3,0.8,0.2,1
Emeka Pembrook,TID,75,18.1,1.8,3,1.1,1.6,0.1,4.4,8.4,1.1,0.4,1.3,0.7
Hollis Pembrook,UMB,73,21.8,2.9,5.3,1.2,1.6,1.2,7.5,3.5,1.8,0.7,0.5,0.9
Eli Wolcott,VIP,73,21.8,3.6,8.8,1.2,1.7,0.8,9.8,2.9,2.3,0.7,0.4,1.1
Florian Quill,WLD,78,17.2,2.9,6,1.4,1.5,1,7.5,2.1,2,0.6,0.1,1.3
Pax Northcott,XEN,69,16.6,1.1,2.2,0.6,0.8,0.6,3.1,3,1.9,0.9,0.2,0.4
Vance Ashgrove,YTI,75,21.5,2.8,6.2,1.5,1.8,0.7,8.1,5,1.5,0.5,0.5,1.1
Orin Everly,ZEP,78,23.6,3.1,6.1,1.8,2.1,1.4,8.5,2.3,4.1,1,0.2,1.3
Blake Yarrow,ARC,47,20.8,2.9,5.4,1.9,3.5,0.2,8.5,8.9,1.4,0.4,1.1,1
Orin Underhill,BOL,82,21.9,3.6,8.1,2,2.5,0.9,10,6,1.7,0.4,1.1,0.9
Hollis Thorne,CRS,76,22.4,2.7,4.4,1.5,2.7,0.2,6.7,5.4,1.6,0.5,1.5,1
Ulises Eastlake,DUN,78,20.4,3.6,7.8,1.8,2.6,0.8,9.5,4.3,2.1,0.6,0.5,1.4
