R#,ADP,PLAYER,TEAM,POS,GP,MPG,FG%,FT%,3PM,PTS,REB,AST,STL,BLK,TO,W18,W19,W20,W21
170,168.2,Ivo Calloway,HVN,PG,69,21,0.437 (3.4/7.9),0.817 (1.6/2),1.8,9.7,2.5,5.3,0.8,0.3,1.5,4,4,4,3
202,,Hollis Garrow,IRN,SF,72,21.4,0.459 (3.1/6.8),0.791 (1.3/1.6),1.3,8.4,3.9,1.6,1,0.3,0.8,3,3,4,4
179,179.3,Marek Quill,JAD,SG,71,20.2,0.498 (3.2/6.5),0.75 (1.6/2.1),0.9,8.6,2.9,2.3,0.7,0.2,1,4,4,4,3
186,180.7,Jalen Northcott,KNG,"SF,PF",75,21.5,0.507 (3.1/6.1),0.715 (1.4/2),1.2,8.3,4.7,1.6,0.9,0.4,1.2,4,3,3,3
231,,Zane Ingram,LYX,C,78,17.2,0.581 (2.6/4.5),0.577 (1.4/2.5),0.2,6.7,5.3,1.2,0.4,0.7,0.9,4,3,4,4
142,140.1,Finn Calloway,MTR,SF,75,24.7,0.473 (3.6/7.6),0.892 (1.6/1.8),1,9.4,4,2.6,0.7,0.5,1.5,3,3,3,4
274,,Tate Yarrow,NOV,SG,68,16.4,0.433 (2.8/6.6),0.829 (1.6/2),1.1,8.1,2.6,2.1,0.3,0.2,0.8,4,3,4,4
151,148.7,Linus Underhill,ORC,"SF,PF",73,23.6,0.451 (3.5/7.8),0.788 (1.5/1.9),1.1,9.2,4.6,2.3,1.3,0.5,1,3,4,3,4
188,,Gage Birchwell,PHN,C,52,22.7,0.543 (2.7/5),0.684 (1.2/1.8),0.2,6.8,6.9,1.8,0.5,1.4,0.9,4,3,3,4
172,153.9,Bram Lockhart,QST,"SG,SF",80,20.9,0.452 (4/8.9),0.865 (1.7/2),1.5,10.7,2.8,2.7,0.5,0.3,0.9,4,4,3,3
183,170.4,Finn Stroud,RVR,"SG,SF",77,17.6,0.461 (3/6.4),0.696 (1/1.4),1.2,7.6,2.6,2.3,0.4,0.2,0.6,4,3,4,3
173,179.7,Lior Vexley,SUM,C,73,24.3,0.645 (3.4/5.2),0.605 (1.2/2),0.2,8.1,7.8,2,0.5,1.5,1.3,3,4,4,4
160,165.1,Kade Marlow,TID,"SG,SF",76,22.2,0.416 (3.5/8.5),0.804 (1.5/1.9),1.4,9.5,3,2.8,0.5,0.1,0.9,4,3,3,3
260,,Kade Dunmore,UMB,"PF,C",74,21.7,0.501 (2.5/4.9),0.78 (1.1/1.4),1,6.6,3.9,1.5,0.3,0.9,0.8,4,3,3,4
178,157.7,Zane Fairbourne,VIP,SF,74,19.6,0.477 (2.7/5.6),0.845 (1/1.2),0.7,6.8,4.1,1.9,0.7,0.4,1,3,3,4,4
133,129.3,Cam Thorne,WLD,"SG,SF",69,24.3,0.447 (4.5/10),0.9 (1.1/1.2),2.1,11.4,3.6,2.4,0.6,0.5,1.4,3,4,3,4
107,110.9,Niall Pembrook,XEN,C,53,30,0.588 (5.1/8.7),0.688 (2.5/3.6),0.3,12.8,10.4,2.4,0.6,1.7,1.7,3,4,4,4
201,,Cam Northcott,YTI,"SF,PF",45,24.7,0.498 (3.6/7.2),0.738 (1.4/1.9),1.2,9.2,4.8,2.3,0.7,0.6,1.2,4,3,3,3
162,171.1,Lior Jessop,ZEP,PF,75,22.4,0.506 (4.1/8),0.852 (2.6/3),1.2,11.4,5.4,1.7,0.6,0.9,1.2,3,3,4,4
256,,Hugo Quill,ARC,SG,80,22.4,0.493 (3.9/7.9),0.757 (1.4/1.9),1,9.8,2.9,2.1,0.7,0.4,1,3,4,3,4
185,185.8,Niall Jessop,BOL,PG,78,23.4,0.485 (3.2/6.5),0.808 (2.1/2.6),1.3,9.2,2.9,4.7,0.8,0.2,1.9,4,4,3,3
159,167.7,Eli Zeller,CRS,"PG,SG",74,26.3,0.453 (4.8/10.6),0.94 (3.2/3.4),2.2,14.2,3.4,7.1,0.9,0.4,2.5,3,3,3,4
261,,Ivo Pembrook,DUN,C,59,22.2,0.619 (2.4/3.9),0.693 (0.8/1.2),0.2,5.8,9.1,1.8,0.5,1.6,0.6,4,3,3,3
167,153.6,Lior Underhill,ALB,C,78,25.1,0.543 (4.2/7.8),0.684 (2.3/3.4),0.3,11,9.9,1.5,0.5,1.3,1.6,4,4,3,4
118,122.9,Ivo Ashgrove,BRV,"SF,PF",75,22,0.508 (3.4/6.6),0.796 (1.7/2.1),1.3,9.1,4.2,2.2,0.7,0.3,1.3,4,3,4,4
181,176.2,Lior Draven,CDR,"SG,SF",75,23.8,0.476 (4.3/9.1),0.903 (2.7/3),2.1,12.6,3.6,2.7,0.7,0.3,1.5,4,4,3,4
258,,Emeka Stroud,DLT,PG,52,22.2,0.453 (3.1/6.8),0.799 (1.4/1.7),1.1,8.3,2.7,4.9,0.7,0.3,1.3,3,4,3,3
180,179.3,Wes Garrow,EMB,SG,74,25.9,0.442 (4.3/9.7),0.864 (1.6/1.8),1.9,11.4,3,3,1.1,0.4,1.3,4,4,3,4
225,,Rowan Marlow,FRG,SG,70,21.9,0.457 (3/6.6),0.82 (2.1/2.5),1.4,9,2.8,2.7,0.6,0.3,1,4,4,4,3
127,136.7,Florian Calloway,GLN,SF,70,22.8,0.444 (6.1/13.8),0.796 (2.5/3.2),1.2,15.6,5.1,2.6,0.6,0.5,1.2,3,4,4,3
199,,Linus Calloway,HVN,"SG,SF",76,24.6,0.406 (3.8/9.4),0.809 (1.6/2),1.2,10,3.7,3.2,0.6,0.3,1.2,4,4,4,3
255,,Vance Everly,IRN,SF,44,22.3,0.521 (3.7/7.1),0.808 (1.6/1.9),1.4,9.7,4.2,2.1,0.8,0.3,1.2,3,3,4,4
249,,Dorian Northcott,JAD,"SF,PF",72,23.2,0.527 (2.4/4.6),0.708 (0.7/1.1),1.1,6.2,4,2.1,0.8,0.5,0.8,4,4,4,3
241,,Ansel Stroud,KNG,C,70,26.2,0.588 (4.7/7.9),0.598 (2.6/4.4),0.2,12.1,9.2,1.7,0.9,0.8,1.2,4,3,3,3
243,,Linus Lockhart,LYX,PF,76,18.2,0.478 (2.2/4.5),0.849 (0.8/0.9),0.6,5.5,4.5,1.3,0.4,0.6,0.6,4,3,4,4
187,176.3,Bram Marlow,MTR,"SG,SF",74,24.4,0.46 (3.1/6.7),0.783 (0.9/1.1),1.5,7.9,4.4,3.5,0.6,0.3,1,3,3,3,4
224,,Bram Dunmore,NOV,PG,75,21.2,0.395 (3/7.7),0.753 (1/1.3),1.3,7.9,2.7,4.6,1,0.2,1.4,4,3,4,4
182,191,Emeka Garrow,ORC,SF,76,21.4,0.491 (3.2/6.4),0.759 (1.5/1.9),0.9,8.4,4.3,2.3,0.7,0.4,0.9,3,4,3,4
237,,Vance Ingram,PHN,PG,74,23.2,0.451 (3.5/7.7),0.771 (0.9/1.2),1.4,8.7,2.2,5.4,1,0.2,2.2,4,3,3,4
120,120.2,Idris Thorne,QST,PG,74,25.7,0.429 (6.4/15),0.855 (3.7/4.3),2,17.9,3,8.1,0.9,0.2,2.2,4,4,3,3
220,,Zane Stroud,RVR,"SG,SF",67,23.9,0.452 (3.5/7.7),0.767 (1.8/2.4),1.1,9.5,2.6,3.2,0.6,0.3,1.4,4,3,4,3
197,,Nico Oakridge,SUM,C,71,19.1,0.596 (3.3/5.5),0.643 (0.9/1.5),0.2,7.6,6.3,1.2,0.5,1.3,1.1,3,4,4,4
190,188.4,Rowan Hartwell,TID,C,80,23.5,0.57 (3.1/5.4),0.745 (1.8/2.4),0.3,8.2,9.5,1.8,0.7,0.8,1,4,3,3,3
221,,Pax Wolcott,UMB,C,74,17.3,0.554 (2.4/4.3),0.665 (1.4/2),0.2,6.2,5.7,1.4,0.5,0.8,0.8,4,3,3,4
137,140.8,Yuri Fairbourne,VIP,C,74,24.9,0.592 (3.5/5.9),0.595 (2.1/3.6),0.3,9.3,8.1,1.8,0.4,1.1,1.2,3,3,4,4
279,,Dante Zeller,WLD,"PG,SG",75,17.1,0.431 (2.2/5.1),0.835 (1.1/1.3),0.7,6,2.2,2.3,0.7,0.2,0.7,3,4,3,4
194,194.9,Eli Corvell,XEN,PG,74,19.4,0.433 (1.3/3.1),0.9 (1.1/1.3),1.4,4.7,1.9,2.8,0.7,0.2,1.5,3,4,4,4
230,,Wes Kestrel,YTI,PG,73,19.3,0.45 (1.4/3.2),0.814 (1/1.2),1.4,4.8,1.8,4.2,0.7,0.1,1.7,4,3,3,3
189,,Jalen Yarrow,ZEP,C,71,23.7,0.585 (3.8/6.5),0.624 (2/3.3),0.2,9.8,9.1,1.6,0.6,1.3,1.3,3,3,4,4
219,,Yuri Lockhart,ARC,"PF,C",43,20.5,0.493 (2.7/5.4),0.758 (0.8/1),0.8,6.6,3.8,1.3,0.4,0.4,1,3,4,3,4
164,178.3,Cyrus Lockhart,BOL,SG,72,23.5,0.442 (4.5/10.3),0.849 (2.2/2.5),1.2,12,3.7,3,0.9,0.4,1.3,4,4,3,3
222,,Linus Oakridge,CRS,SF,74,24,0.47 (2.9/6.2),0.828 (1.3/1.6),1.3,7.9,4.1,2.2,1,0.4,1.4,3,3,3,4
271,,Nico Eastlake,DUN,PF,80,20.7,0.45 (2.8/6.2),0.809 (1.1/1.4),0.8,7.3,4.7,1.5,0.4,0.8,0.7,4,3,3,3
145,155,Blake Hartwell,ALB,PF,78,26.9,0.475 (5.2/11),0.778 (2.1/2.7),2,13.7,6.3,1.9,0.5,1.2,2,4,4,3,4
292,,Jalen Ravensworth,BRV,C,58,22.3,0.529 (2.4/4.6),0.692 (1.4/2.1),0.2,6.4,8.2,1.8,0.6,1.3,0.9,4,3,4,4
285,,Jalen Pembrook,CDR,SF,75,17.6,0.488 (1.9/4),0.754 (0.4/0.6),0.7,4.7,4.1,1.6,0.5,0.3,0.6,4,4,3,4
253,,Marek Marlow,DLT,SG,51,20.5,0.44 (2.4/5.5),0.813 (1.1/1.3),1,6.6,3.5,2.1,0.7,0.2,0.8,3,4,3,3
288,,Niall Draven,EMB,SF,77,16,0.48 (2.2/4.5),0.763 (0.6/0.8),0.5,5.2,2.4,1.7,0.5,0.3,0.5,4,4,3,4
268,,Jonah Oakridge,FRG,"SF,PF",76,20.1,0.47 (2.6/5.4),0.671 (1.3/2),1,7.1,3.5,1.8,0.8,0.5,0.8,4,4,4,3
245,,Linus Draven,GLN,SG,74,22.4,0.513 (4.1/8),0.851 (2.2/2.5),1,11,2.9,2.9,0.7,0.3,1.6,3,4,4,3
196,178.7,Gage Everly,HVN,SF,56,24.6,0.476 (3.1/6.5),0.786 (1.1/1.3),1.3,8,5.7,2,0.6,0.7,1.1,4,4,4,3
267,,Lior Blackwood,IRN,"PF,C",58,21.5,0.461 (2.5/5.5),0.887 (1.1/1.2),0.6,6.5,5.3,1.3,0.5,0.9,0.9,3,3,4,4
284,,Galen Eastlake,JAD,"SG,SF",80,23.2,0.448 (2.5/5.7),0.781 (1/1.3),1,6.7,2.3,2.9,0.9,0.5,0.7,4,4,4,3
270,,Kade Zeller,KNG,C,42,20.6,0.551 (2.7/5),0.654 (0.9/1.3),0.2,6.5,7.9,1.9,0.5,0.8,0.8,4,3,3,3
290,,Tate Quill,LYX,C,45,18.4,0.6 (2.2/3.7),0.7 (1.1/1.6),0.2,5.6,6.6,1.3,0.2,0.9,0.6,4,3,4,4
259,,Yuri Marlow,MTR,"PF,C",77,20.4,0.433 (4.7/10.8),0.739 (2.3/3.1),1.5,12.6,4.4,1.5,0.6,0.8,1.2,3,3,3,4
239,,Jonah Thorne,NOV,SF,77,20.7,0.49 (3/6.1),0.769 (1.8/2.3),1.1,8.4,4.3,1.8,0.6,0.4,0.8,4,3,4,4
223,,Pax Jessop,ORC,C,56,22.4,0.55 (4.1/7.5),0.695 (1.5/2.1),0.2,9.8,7.1,1.7,0.4,1.5,1.5,3,4,3,4
140,137.9,Soren Draven,PHN,SF,74,23.4,0.418 (4.7/11.3),0.674 (2.2/3.3),1.6,12.8,4.2,2,0.7,0.5,1.3,4,3,3,4
204,,Vance Fairbourne,QST,SG,52,19.6,0.464 (2.2/4.8),0.829 (0.6/0.8),0.8,5.6,2.6,2.3,0.7,0.3,1.1,4,4,3,3
217,,Zane Pembrook,RVR,SF,68,23.3,0.479 (3.1/6.5),0.835 (1.8/2.1),1.1,8.7,5,2.4,1.1,0.3,1.2,4,3,4,3
214,,Jonah Blackwood,SUM,"SF,PF",71,22,0.423 (4.4/10.4),0.741 (2.4/3.3),0.5,11.5,4.3,2.2,0.8,0.5,1.1,3,4,4,4
177,,Galen Vexley,TID,C,77,22.3,0.609 (3/5),0.672 (2.2/3.3),0.2,8.4,6.7,1.7,0.6,1.4,1.2,4,3,3,3
289,,Yuri Dunmore,UMB,PG,71,21.6,0.43 (2.3/5.4),0.823 (1.2/1.5),1.1,6.6,2.3,2.6,0.4,0.3,1,4,3,3,4
138,150.9,Tate Northcott,VIP,"SG,SF",72,24.8,0.499 (4.1/8.3),0.772 (1.8/2.3),1.4,10.9,3.3,2.8,0.9,0.3,1.2,3,3,4,4
266,,Blake Fairbourne,WLD,SG,72,20.8,0.431 (3.4/7.8),0.865 (0.7/0.8),1.2,8.2,2.7,2.2,0.5,0.3,0.9,3,4,3,4
192,191,Finn Northcott,XEN,SG,71,22.2,0.476 (3.2/6.6),0.919 (1.2/1.3),1.4,8.3,3.1,2.4,0.8,0.3,1,3,4,4,4
281,,Wes Vexley,YTI,"SF,PF",51,18.8,0.455 (2.9/6.4),0.725 (1.2/1.6),1.1,7.7,3.7,1.6,0.4,0.4,1,4,3,3,3
278,,Idris Abernet,ZEP,SF,70,17.6,0.46 (1.6/3.5),0.689 (0.9/1.3),0.4,4.4,4,1.6,0.5,0.4,0.4,3,3,4,4
248,,Marek Thorne,ARC,"PF,C",72,19.6,0.489 (3.7/7.5),0.817 (1.6/2),1.4,9.8,4.4,1.4,0.5,0.5,1,3,4,3,4
171,180.5,Milo Marlow,BOL,PF,73,22.5,0.453 (2.8/6.2),0.796 (1.5/1.9),0.9,7.7,4.6,1.4,0.3,0.7,1,4,4,3,3
200,,Marek Blackwood,CRS,PF,71,19.8,0.532 (2.3/4.4),0.924 (1/1.1),0.8,6.2,5,1.5,0.3,0.9,0.9,3,3,3,4
143,144.8,Wes Oakridge,DUN,"SG,SF",70,25.2,0.38 (4.4/11.7),0.806 (2.1/2.6),2.1,12.4,3.8,3.7,0.9,0.1,1.6,4,3,3,3
227,,Ansel Lockhart,ALB,C,74,23.1,0.561 (2.4/4.3),0.747 (1.4/1.8),0.2,6.3,7.2,1.6,0.4,0.8,1,4,4,3,4
251,,Orin Garrow,BRV,"PF,C",69,21.7,0.512 (2.4/4.8),0.832 (1.2/1.4),1,6.6,4,1.7,0.4,0.5,1,4,3,4,4
210,,Ulises Ingram,CDR,PG,69,20.8,0.469 (3.7/7.9),0.923 (2/2.1),1.5,10.4,2.6,3.9,0.8,0.2,1.8,4,4,3,4
277,,Kade Lockhart,DLT,"SG,SF",71,15.8,0.45 (1.7/3.7),0.865 (0.9/1.1),0.6,4.6,2.4,1.6,0.5,0.2,0.8,3,4,3,3
299,,Dante Dunmore,EMB,SG,79,15.4,0.449 (2/4.5),0.807 (0.9/1.2),0.8,5.5,1.7,2,0.3,0.2,0.6,4,4,3,4
233,,Avery Quill,FRG,C,72,22.5,0.616 (2.8/4.6),0.641 (1.4/2.2),0.3,7.2,7.7,1.7,0.5,1.4,1,4,4,4,3
226,,Kade Ingram,GLN,C,56,24.5,0.626 (2.9/4.6),0.689 (1.7/2.4),0.2,7.5,10.3,2,0.6,1.2,0.9,3,4,4,3
154,172.9,Hollis Wolcott,HVN,C,56,24.6,0.599 (3.7/6.1),0.605 (2.2/3.6),0.2,9.6,8,1.9,0.6,1,0.9,4,4,4,3
156,163,Jalen Ingram,IRN,"SF,PF",78,22.7,0.472 (4.9/10.4),0.805 (1.9/2.3),0.9,12.2,4.7,1.9,0.5,0.5,0.9,3,3,4,4
234,,Quincy Kestrel,JAD,C,74,20.7,0.583 (2/3.5),0.643 (1/1.6),0.2,5.2,8,1.9,0.5,1.3,1,4,4,4,3
247,,Zane Calloway,KNG,"PG,SG",54,21.5,0.492 (3.8/7.6),0.806 (1.5/1.9),1.6,10,3.2,5.1,0.8,0.2,1.9,4,3,3,3
276,,Zane Ravensworth,LYX,C,52,17.4,0.531 (2.9/5.4),0.648 (1.7/2.6),0.1,7.5,4.5,1.3,0.5,0.9,0.7,4,3,4,4
236,,Bram Eastlake,MTR,"PG,SG",78,20.8,0.493 (2.6/5.2),0.825 (1.6/1.9),1.7,7.7,2.4,4.2,0.9,0.3,1.5,3,3,3,4
157,141.5,Ulises Vexley,NOV,PG,73,29.1,0.405 (5/12.3),0.927 (1.6/1.7),2,12.9,3.3,6.1,1.1,0.2,1.6,4,3,4,4
229,,Xander Eastlake,ORC,"SG,SF",73,22.6,0.511 (3.9/7.6),0.846 (2.2/2.6),1.6,10.9,3.4,2.7,0.5,0.2,1,3,4,3,4
264,,Milo Stroud,PHN,PF,74,19.4,0.545 (3.1/5.7),0.775 (1.5/2),0.8,8.2,4.8,1.4,0.5,0.6,0.9,4,3,3,4
295,,Quincy Lockhart,QST,PF,72,20.6,0.462 (2.3/5),0.802 (1.8/2.2),0.8,6.9,4.7,1.5,0.5,1.1,0.8,4,4,3,3
175,151.3,Eli Fairbourne,RVR,C,75,24.4,0.618 (2.9/4.7),0.675 (1.3/1.9),0.3,7.2,10.2,1.7,0.6,1.8,1.1,4,3,4,3
300,,Kellan Fairbourne,SUM,"SF,PF",76,17.8,0.442 (3.6/8.2),0.827 (2.2/2.7),0.9,10.1,3.5,1.6,0.4,0.2,1,3,4,4,4
257,,Gage Stroud,TID,"PF,C",72,22.4,0.496 (3.1/6.3),0.773 (1.3/1.7),0.9,8.1,5,1.6,0.5,1,1,4,3,3,3
286,,Gage Marlow,UMB,"PF,C",74,19.5,0.418 (2.4/5.8),0.826 (1.2/1.5),0.9,6.6,4.8,1.3,0.5,0.5,0.4,4,3,3,4
252,,Marek Fairbourne,VIP,C,70,19.4,0.576 (2.5/4.4),0.561 (1.1/1.9),0.2,6.3,5.7,1.9,0.4,1,0.7,3,3,4,4
213,,Xander Jessop,WLD,PG,45,20,0.416 (2/4.9),0.847 (1.3/1.5),1.1,6.1,2.2,2.7,0.6,0.2,1,3,4,3,4
297,,Florian Lockhart,XEN,C,78,17.1,0.522 (2.3/4.4),0.737 (1.5/2),0.2,6.2,6,1,0.3,0.8,0.8,3,4,4,4
113,122.1,Yuri Abernet,YTI,PF,74,24.3,0.479 (3.4/7),0.84 (1.6/1.9),1.2,9.1,6.1,1.7,0.6,0.8,1.4,4,3,3,3
191,,Jalen Marlow,ZEP,PG,79,18.8,0.44 (2.5/5.7),0.908 (0.8/0.9),1.1,6.6,2.4,3.5,0.8,0.2,1.1,3,3,4,4
139,145.8,Kellan Abernet,ARC,"SF,PF",69,23,0.445 (3.3/7.4),0.807 (1.7/2.1),0.9,8.9,3.8,2,0.3,0.5,1,3,4,3,4
203,,Rowan Oakridge,BOL,SG,73,24,0.481 (3.1/6.5),0.833 (1.2/1.4),1.5,8.4,3.3,3.5,0.6,0.4,1,4,4,3,3
242,,Emeka Yarrow,CRS,C,67,18.8,0.586 (2.6/4.4),0.661 (1.3/2),0.1,6.5,7.2,1.6,0.4,0.7,0.7,3,3,3,4
240,,Ulises Corvell,DUN,SF,48,20.1,0.457 (2.1/4.6),0.759 (0.9/1.2),0.6,5.5,3.9,2.2,0.5,0.5,0.6,4,3,3,3
205,,Nico Fairbourne,ALB,C,74,23.8,0.558 (2.8/5),0.679 (1.7/2.5),0.2,7.4,7.8,1.8,0.8,1.4,0.9,4,4,3,4
275,,Tate Fairbourne,BRV,PG,76,20.3,0.457 (2.2/4.9),0.866 (1.1/1.3),0.5,5.9,2.4,3.4,0.7,0.1,1.4,4,3,4,4
293,,Blake Ravensworth,CDR,C,73,19.5,0.6 (2.3/3.9),0.635 (0.9/1.4),0.2,5.6,6.5,1.4,0.6,1,0.8,4,4,3,4
298,,Dorian Jessop,DLT,PF,74,20,0.517 (2.6/5),0.772 (1.1/1.5),0.7,6.7,4.3,1.4,0.3,0.9,0.8,3,4,3,3
232,,Cam Draven,EMB,C,75,21.5,0.569 (2.9/5.2),0.652 (1.6/2.5),0.1,7.5,5.5,1.1,0.5,0.9,1.2,4,4,3,4
294,,Linus Birchwell,FRG,"PF,C",69,20.6,0.445 (2.3/5.1),0.85 (1.1/1.3),0.5,6.1,4.2,1.4,0.3,0.5,0.7,4,4,4,3
244,,Finn Eastlake,GLN,C,74,20,0.621 (3.2/5.2),0.642 (1.4/2.2),0.2,7.9,7.3,1.4,0.5,1.5,1.1,3,4,4,3
195,,Eli Garrow,HVN,SF,75,25.2,0.476 (5.3/11.1),0.796 (1.7/2.1),1.6,13.2,4,2.1,0.7,0.4,1.4,4,4,4,3
262,,Dante Garrow,IRN,PF,75,19.6,0.413 (3.3/7.9),0.793 (1.3/1.6),1,8.5,4.2,1.2,0.5,0.5,0.8,3,3,4,4
254,,Idris Oakridge,JAD,SF,50,21.6,0.407 (2.9/7.2),0.707 (1.8/2.6),1.1,8.4,4.1,1.7,1,0.6,1,4,4,4,3
216,,Marek Kestrel,KNG,"PF,C",80,19.6,0.486 (3/6.2),0.818 (1.9/2.3),0.8,8.4,5.2,1.4,0.6,0.9,0.8,4,3,3,3
296,,Niall Dunmore,LYX,SG,73,19.2,0.477 (3.6/7.5),0.87 (2/2.3),1.2,9.8,2.2,2.4,0.6,0.3,1.2,4,3,4,4
287,,Linus Ashgrove,MTR,SF,80,16.7,0.466 (1.2/2.6),0.789 (0.4/0.6),0.6,3.2,2.8,1.5,0.8,0.4,0.5,3,3,3,4
228,,Ivo Wolcott,NOV,"PG,SG",47,18.3,0.508 (2.1/4.2),0.861 (1/1.2),1.2,6,2.6,3.2,0.6,0.2,1,4,3,4,4
272,,Vance Jessop,ORC,SF,74,22,0.514 (2.2/4.3),0.696 (1.4/2),0.9,6.4,4.2,2.1,0.6,0.4,1,3,4,3,4
269,,Blake Stroud,PHN,"PG,SG",71,19.8,0.406 (2/5),0.8 (1.2/1.6),0.6,5.7,2.7,2.7,0.9,0.2,1,4,3,3,4
282,,Wes Marlow,QST,SF,74,21,0.488 (2.5/5),0.795 (1.7/2.1),0.6,7,3.3,2,0.8,0.6,0.9,4,4,3,3
291,,Cyrus Ravensworth,RVR,"PG,SG",77,17.2,0.416 (1.7/4.2),0.814 (0.8/1),0.7,4.7,2.1,2.2,0.6,0.2,0.9,4,3,4,3
273,,Hugo Draven,SUM,SG,73,19.5,0.479 (2.1/4.4),0.822 (1.3/1.6),1.1,6.2,2.3,2.3,0.8,0.2,1,3,4,4,4
283,,Emeka Pembrook,TID,C,73,18.1,0.584 (1.7/3),0.661 (1.1/1.6),0.1,4.6,8.4,1.2,0.5,1.2,0.7,4,3,3,3
265,,Hollis Pembrook,UMB,SF,73,21.8,0.472 (2.9/6.2),0.834 (1.3/1.6),1.2,7.9,3.6,1.7,0.7,0.5,0.8,4,3,3,4
208,,Eli Wolcott,VIP,"SG,SF",72,21.8,0.441 (3.9/8.9),0.773 (1.2/1.6),0.9,9.6,2.9,2.4,0.7,0.4,1,3,3,4,4
280,,Florian Quill,WLD,PG,77,17.2,0.459 (2.7/5.9),0.866 (1.3/1.5),0.9,7.3,2.2,2.2,0.6,0.1,1.4,3,4,3,4
212,,Pax Northcott,XEN,SF,69,16.6,0.481 (1.1/2.3),0.752 (0.6/0.7),0.6,3.1,2.8,1.9,0.8,0.2,0.4,3,4,4,4
263,,Vance Ashgrove,YTI,PF,74,21.5,0.482 (3/6.2),0.862 (1.6/1.8),0.8,8.1,5,1.4,0.6,0.5,1.1,4,3,3,3
163,183.2,Orin Everly,ZEP,PG,78,23.6,0.465 (3.2/6.9),0.834 (1.9/2.3),1.5,9.2,2.5,4.2,1,0.2,1.3,3,3,4,4
193,,Blake Yarrow,ARC,C,45,20.8,0.587 (3.1/5.2),0.643 (2.2/3.5),0.2,8.5,8,1.3,0.4,1.2,0.9,3,4,3,4
209,,Orin Underhill,BOL,PF,80,21.9,0.504 (3.5/7),0.766 (2/2.6),0.9,9.5,6,1.7,0.4,1.1,0.8,4,4,3,3
166,159.7,Hollis Thorne,CRS,C,75,22.4,0.573 (2.8/4.9),0.585 (1.4/2.5),0.2,7.2,5.2,1.6,0.5,1.5,1,3,3,3,4
250,,Ulises Eastlake,DUN,SF,77,20.4,0.487 (3.6/7.5),0.688 (1.8/2.6),0.8,9.6,3.8,2,0.6,0.5,1.3,4,3,3,3
