Player,Team,Pos,Yahoo ID,XRank,Rank,Last 7 Days ADP,Status,Source,Captured At,Confidence,Review Fields
Jonah Oakridge,FRG,"SF,PF",ySMP0216,268,269,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Linus Draven,GLN,SG,ySMP0217,271,259,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Gage Everly,HVN,SF,ySMP0218,176,167,177.8,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Lior Blackwood,IRN,"PF,C",ySMP0219,274,283,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Galen Eastlake,JAD,"SG,SF",ySMP0220,273,291,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Kade Zeller,KNG,C,ySMP0221,275,251,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Tate Quill,LYX,C,ySMP0222,290,296,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Yuri Marlow,MTR,"PF,C",ySMP0223,266,252,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Jonah Thorne,NOV,SF,ySMP0224,223,222,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Pax Jessop,ORC,C,ySMP0225,227,256,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Soren Draven,PHN,SF,ySMP0226,130,140,131,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Vance Fairbourne,QST,SG,ySMP0227,193,195,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Zane Pembrook,RVR,SF,ySMP0228,213,217,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Jonah Blackwood,SUM,"SF,PF",ySMP0229,231,235,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Galen Vexley,TID,C,ySMP0230,197,197,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Yuri Dunmore,UMB,PG,ySMP0231,289,295,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Tate Northcott,VIP,"SG,SF",ySMP0232,141,146,149.1,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Blake Fairbourne,WLD,SG,ySMP0233,259,284,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Finn Northcott,XEN,SG,ySMP0234,199,187,189.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Wes Vexley,YTI,"SF,PF",ySMP0235,277,268,,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Idris Abernet,ZEP,SF,ySMP0236,286,265,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Marek Thorne,ARC,"PF,C",ySMP0237,239,254,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Milo Marlow,BOL,PF,ySMP0238,177,188,177.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Marek Blackwood,CRS,PF,ySMP0239,203,202,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Wes Oakridge,DUN,"SG,SF",ySMP0240,145,137,149.6,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ansel Lockhart,ALB,C,ySMP0241,230,237,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Orin Garrow,BRV,"PF,C",ySMP0242,246,241,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Ulises Ingram,CDR,PG,ySMP0243,200,194,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Kade Lockhart,DLT,"SG,SF",ySMP0244,279,276,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Dante Dunmore,EMB,SG,ySMP0245,299,299,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Avery Quill,FRG,C,ySMP0246,234,228,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Kade Ingram,GLN,C,ySMP0247,207,219,,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Hollis Wolcott,HVN,C,ySMP0248,147,154,171.2,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Jalen Ingram,IRN,"SF,PF",ySMP0249,165,178,165.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Quincy Kestrel,JAD,C,ySMP0250,248,227,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Zane Calloway,KNG,"PG,SG",ySMP0251,243,238,,GTD,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Zane Ravensworth,LYX,C,ySMP0252,272,253,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Bram Eastlake,MTR,"PG,SG",ySMP0253,224,234,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Ulises Vexley,NOV,PG,ySMP0254,150,175,143.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Xander Eastlake,ORC,"SG,SF",ySMP0255,221,224,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Milo Stroud,PHN,PF,ySMP0256,269,271,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Quincy Lockhart,QST,PF,ySMP0257,293,292,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Eli Fairbourne,RVR,C,ySMP0258,173,169,157.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Kellan Fairbourne,SUM,"SF,PF",ySMP0259,298,294,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Gage Stroud,TID,"PF,C",ySMP0260,262,272,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Gage Marlow,UMB,"PF,C",ySMP0261,291,290,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Marek Fairbourne,VIP,C,ySMP0262,255,258,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Xander Jessop,WLD,PG,ySMP0263,209,212,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Florian Lockhart,XEN,C,ySMP0264,294,298,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Yuri Abernet,YTI,PF,ySMP0265,132,118,122.7,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Jalen Marlow,ZEP,PG,ySMP0266,214,206,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Kellan Abernet,ARC,"SF,PF",ySMP0267,133,138,145.5,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Rowan Oakridge,BOL,SG,ySMP0268,195,208,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Emeka Yarrow,CRS,C,ySMP0269,261,236,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Ulises Corvell,DUN,SF,ySMP0270,256,260,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Nico Fairbourne,ALB,C,ySMP0271,206,209,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Tate Fairbourne,BRV,PG,ySMP0272,249,262,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Blake Ravensworth,CDR,C,ySMP0273,287,300,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Dorian Jessop,DLT,PF,ySMP0274,281,275,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Cam Draven,EMB,C,ySMP0275,237,210,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Linus Birchwell,FRG,"PF,C",ySMP0276,297,287,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Finn Eastlake,GLN,C,ySMP0277,229,247,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Eli Garrow,HVN,SF,ySMP0278,202,196,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Dante Garrow,IRN,PF,ySMP0279,260,244,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Idris Oakridge,JAD,SF,ySMP0280,245,255,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Marek Kestrel,KNG,"PF,C",ySMP0281,235,223,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Niall Dunmore,LYX,SG,ySMP0282,296,281,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Linus Ashgrove,MTR,SF,ySMP0283,295,266,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Ivo Wolcott,NOV,"PG,SG",ySMP0284,241,240,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Vance Jessop,ORC,SF,ySMP0285,280,274,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Blake Stroud,PHN,"PG,SG",ySMP0286,285,285,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Wes Marlow,QST,SF,ySMP0287,292,289,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Cyrus Ravensworth,RVR,"PG,SG",ySMP0288,284,288,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Hugo Draven,SUM,SG,ySMP0289,264,257,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Emeka Pembrook,TID,C,ySMP0290,270,278,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Hollis Pembrook,UMB,SF,ySMP0291,258,264,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Eli Wolcott,VIP,"SG,SF",ySMP0292,208,177,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Florian Quill,WLD,PG,ySMP0293,283,270,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Pax Northcott,XEN,SF,ySMP0294,198,201,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Vance Ashgrove,YTI,PF,ySMP0295,265,282,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Orin Everly,ZEP,PG,ySMP0296,174,156,182.9,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Blake Yarrow,ARC,C,ySMP0297,189,179,,INJ,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Orin Underhill,BOL,PF,ySMP0298,219,215,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
Hollis Thorne,CRS,C,ySMP0299,154,133,157.3,,yahoo_screenshot,2026-09-20T18:00:00Z,HIGH,
Ulises Eastlake,DUN,SF,ySMP0300,247,246,,,yahoo_screenshot,2026-09-20T18:00:00Z,MEDIUM,adp
